feature,h,ic_s,t_s,n_s,ic_l,t_l,n_l,scale,t_exp,realized
close_in_range,21,-0.00981772541966792,-0.5720008478422021,2137,-0.013130356408877391,-1.3172481305940604,5409,1.5909488961832585,-0.9100241174904394,1.4474870558668453
overnight_vs_day,1,0.00792608824147846,2.074124358149412,2156,0.007475450313379826,3.486059160430582,5428,1.5867026286960473,3.2910185713181743,1.0592645057710164
overnight_vs_day,5,0.006982864043622308,0.8205910169687844,2152,0.008644128614576458,1.8163448733717986,5424,1.5875912876601066,1.3027631492717888,1.3942249398035926
overnight_vs_day,21,-0.012883448853819616,-0.837876046843861,2136,-0.0028282657555687967,-0.3136738279761399,5408,1.591174159541472,-1.3332067146367115,0.2352777139002136
true_range,1,-0.005917873346435538,-0.9835943378084985,2157,0.0005879823682037401,0.16145121263803147,5429,1.5864809013790322,-1.5604536316377389,-0.10346428074801813
true_range,5,-0.02081576986191988,-1.573705992959536,2153,-0.017029565750395406,-2.113425094938525,5425,1.587368860037578,-2.4980518880784834,0.8460293018829902
true_range,21,-0.03994813348419961,-1.6007056299364295,2137,-0.038869159395482196,-2.496790602497216,5409,1.5909488961832585,-2.54664085506169,0.9804250950952146
rel_strength_126,1,0.00803886318982278,1.4731683144152683,2051,0.0065713497763107195,2.147307414336675,5323,1.6109994898855513,2.3732734030385547,0.9047872072334479
rel_strength_126,5,0.0005280492902007707,0.04522569650106054,2047,0.002651644969884377,0.3913236178046952,5319,1.6119667293985431,0.0729023180735857,5.36778017688962
rel_strength_126,21,-0.009869143032932173,-0.4581019125843663,2031,-0.004280571522796193,-0.32995239614201083,5303,1.6158678936500959,-0.7402321725647802,0.4457417663957798
rel_strength_252,1,0.016611004195435028,2.765504497150197,1925,0.011564341476074127,3.5371496437585552,5197,1.643088634170494,4.543969007014876,0.7784273260442542
rel_strength_252,5,0.014724152666224732,1.1448993710125641,1921,0.011430085238384919,1.558950006121293,5193,1.6441653024879395,1.882403820659124,0.8281698055497074
rel_strength_252,21,0.00994587322269946,0.42181662146733917,1905,0.005203239156409922,0.36019279322601877,5177,1.648510024791257,0.6953689291124876,0.5179880465549986
